"Rule","User","DistinctComputers","TotalEvents","IP","Country"
"DistinctHosts","U4075","145","609",,
"DistinctHosts","U12","155","246710",,
"DistinctHosts","U4258","127","1053",,
"TotalEvents","U112",,"44101",,
"TotalEvents","U128",,"71585",,
"TotalEvents","U184",,"24369",,
"TotalEvents","U156",,"38865",,
"TotalEvents","U4148",,"42553",,
"TotalEvents","U6",,"20370",,
"TotalEvents","U159",,"33029",,
"TotalEvents","U179",,"31537",,
"TotalEvents","U77",,"34683",,
"TotalEvents","U97",,"21370",,
"TotalEvents","U12",,"246710",,
"TotalEvents","U60",,"44424",,
"TotalEvents","U127",,"22866",,
"TotalEvents","U124",,"25511",,
"TotalEvents","U13",,"80287",,
,"U60",,,,
,"U179",,,,
,"U12",,,,
,"U128",,,,
,"U128",,,,
,"U159",,,,
"OddHour","U977",,,,
"OddHour","U6558",,,,
"OddHour","U3024",,,,
"OddHour","U2527",,,,
"OddHour","U2527",,,,
"OddHour","U3427",,,,
"OddHour","U3427",,,,
"OddHour","U98",,,,
"OddHour","U819",,,,
"OddHour","U5982",,,,
"OddHour","U6778",,,,
"OddHour","U6778",,,,
"OddHour","U3577",,,,
"OddHour","U2499",,,,
"OddHour","U4295",,,,
"OddHour","U4295",,,,
"OddHour","U2314",,,,
"OddHour","U2314",,,,
"OddHour","U2062",,,,
"OddHour","U80",,,,
"OddHour","U80",,,,
"OddHour","U64",,,,
"OddHour","U64",,,,
"OddHour","U45",,,,
"OddHour","U3387",,,,
"OddHour","U4650",,,,
"OddHour","U5251",,,,
"OddHour","U6",,,,
"OddHour","U8200",,,,
"OddHour","U4761",,,,
"OddHour","U2375",,,,
"OddHour","U3968",,,,
"OddHour","U3968",,,,
"OddHour","U6488",,,,
"OddHour","U135",,,,
"OddHour","U194",,,,
"OddHour","U6892",,,,
"OddHour","U6892",,,,
"OddHour","U227",,,,
"OddHour","U227",,,,
"OddHour","U3225",,,,
"OddHour","U29",,,,
"OddHour","U7065",,,,
"OddHour","U7065",,,,
"OddHour","U7655",,,,
"OddHour","U4120",,,,
"OddHour","U2073",,,,
"OddHour","U1824",,,,
"OddHour","U1342",,,,
"OddHour","U1663",,,,
"OddHour","U13",,,,
"OddHour","U13",,,,
"OddHour","U60",,,,
"OddHour","U60",,,,
"OddHour","U12",,,,
"OddHour","U12",,,,
"OddHour","U12",,,,
"OddHour","U4148",,,,
"OddHour","U4148",,,,
"OddHour","U67",,,,
"OddHour","U2894",,,,
"OddHour","U2894",,,,
"OddHour","U6446",,,,
"OddHour","U6446",,,,
"OddHour","U130",,,,
"OddHour","U130",,,,
"OddHour","U3024",,,,
"OddHour","U838",,,,
"OddHour","U2562",,,,
"OddHour","U2562",,,,
"OddHour","U819",,,,
"OddHour","U2730",,,,
"OddHour","U2730",,,,
"OddHour","U423",,,,
"OddHour","U423",,,,
"OddHour","U429",,,,
"OddHour","U165",,,,
"OddHour","U200",,,,
"OddHour","U200",,,,
"OddHour","U4929",,,,
"OddHour","U4929",,,,
"OddHour","U250",,,,
"OddHour","U514",,,,
"OddHour","U514",,,,
"OddHour","U5092",,,,
"OddHour","U5092",,,,
"OddHour","U63",,,,
"OddHour","U63",,,,
"OddHour","U45",,,,
"OddHour","U3548",,,,
"OddHour","U3548",,,,
"OddHour","U427",,,,
"OddHour","U427",,,,
"OddHour","U5963",,,,
"OddHour","U5963",,,,
"OddHour","U3680",,,,
"OddHour","U3680",,,,
"OddHour","U8200",,,,
"OddHour","U8114",,,,
"OddHour","U8114",,,,
"OddHour","U6991",,,,
"OddHour","U6991",,,,
"OddHour","U5644",,,,
"OddHour","U2460",,,,
"OddHour","U2642",,,,
"OddHour","U1984",,,,
"OddHour","U1984",,,,
"OddHour","U5457",,,,
"OddHour","U29",,,,
"OddHour","U77",,,,
"OddHour","U77",,,,
"OddHour","U6683",,,,
"OddHour","U2073",,,,
"OddHour","U1824",,,,
"OddHour","U12",,,,
"OddHour","U105",,,,
"OddHour","U159",,,,
"OddHour","U112",,,,
"OddHour","U1278",,,,
"OddHour","U6446",,,,
"OddHour","U3024",,,,
"OddHour","U2527",,,,
"OddHour","U2527",,,,
"OddHour","U838",,,,
"OddHour","U819",,,,
"OddHour","U429",,,,
"OddHour","U4295",,,,
"OddHour","U4295",,,,
"OddHour","U394",,,,
"OddHour","U2314",,,,
"OddHour","U7049",,,,
"OddHour","U7049",,,,
"OddHour","U250",,,,
"OddHour","U1427",,,,
"OddHour","U4650",,,,
"OddHour","U5675",,,,
"OddHour","U5963",,,,
"OddHour","U5963",,,,
"OddHour","U8200",,,,
"OddHour","U6953",,,,
"OddHour","U6953",,,,
"OddHour","U7414",,,,
"OddHour","U7414",,,,
"OddHour","U5644",,,,
"OddHour","U2460",,,,
"OddHour","U8198",,,,
"OddHour","U2642",,,,
"OddHour","U7266",,,,
"OddHour","U7595",,,,
"OddHour","U29",,,,
"OddHour","U7655",,,,
"OddHour","U2073",,,,
"OddHour","U12",,,,
"OddHour","U204",,,,
"OddHour","U184",,,,
"OddHour","U4148",,,,
"OddHour","U4148",,,,
"OddHour","U128",,,,
"OddHour","U128",,,,
"OddHour","U112",,,,
"OddHour","U112",,,,
"OddHour","U67",,,,
"OddHour","U67",,,,
"OddHour","U6375",,,,
"OddHour","U8131",,,,
"OddHour","U3912",,,,
"OddHour","U6954",,,,
"OddHour","U2035",,,,
"OddHour","U2035",,,,
"OddHour","U130",,,,
"OddHour","U130",,,,
"OddHour","U5570",,,,
"OddHour","U3676",,,,
"OddHour","U392",,,,
"OddHour","U392",,,,
"OddHour","U6778",,,,
"OddHour","U6778",,,,
"OddHour","U7772",,,,
"OddHour","U211",,,,
"OddHour","U211",,,,
"OddHour","U99",,,,
"OddHour","U3577",,,,
"OddHour","U3577",,,,
"OddHour","U6505",,,,
"OddHour","U6505",,,,
"OddHour","U3182",,,,
"OddHour","U2787",,,,
"OddHour","U394",,,,
"OddHour","U31",,,,
"OddHour","U31",,,,
"OddHour","U63",,,,
"OddHour","U45",,,,
"OddHour","U45",,,,
"OddHour","U4380",,,,
"OddHour","U4380",,,,
"OddHour","U307",,,,
"OddHour","U307",,,,
"OddHour","U8200",,,,
"OddHour","U8200",,,,
"OddHour","U8200",,,,
"OddHour","U218",,,,
"OddHour","U218",,,,
"OddHour","U324",,,,
"OddHour","U1751",,,,
"OddHour","U3491",,,,
"OddHour","U3491",,,,
"OddHour","U216",,,,
"OddHour","U216",,,,
"OddHour","U2131",,,,
"OddHour","U8198",,,,
"OddHour","U3951",,,,
"OddHour","U153",,,,
"OddHour","U153",,,,
"OddHour","U2147",,,,
"OddHour","U1285",,,,
"OddHour","U1285",,,,
"OddHour","U7595",,,,
"OddHour","U6001",,,,
"OddHour","U6683",,,,
"OddHour","U6683",,,,
"OddHour","U6229",,,,
"OddHour","U12",,,,
"OddHour","U159",,,,
"OddHour","U156",,,,
"OddHour","U834",,,,
"OddHour","U2894",,,,
"OddHour","U1278",,,,
"OddHour","U4540",,,,
"OddHour","U4540",,,,
"OddHour","U3873",,,,
"OddHour","U2035",,,,
"OddHour","U5570",,,,
"OddHour","U3574",,,,
"OddHour","U3574",,,,
"OddHour","U3574",,,,
"OddHour","U2527",,,,
"OddHour","U2527",,,,
"OddHour","U7729",,,,
"OddHour","U3676",,,,
"OddHour","U1402",,,,
"OddHour","U3383",,,,
"OddHour","U4295",,,,
"OddHour","U4295",,,,
"OddHour","U394",,,,
"OddHour","U713",,,,
"OddHour","U1143",,,,
"OddHour","U1143",,,,
"OddHour","U6953",,,,
"OddHour","U6953",,,,
"OddHour","U828",,,,
"OddHour","U7414",,,,
"OddHour","U7414",,,,
"OddHour","U5656",,,,
"OddHour","U2131",,,,
"OddHour","U8198",,,,
"OddHour","U7947",,,,
"OddHour","U7450",,,,
"OddHour","U6527",,,,
"OddHour","U4290",,,,
"OddHour","U9",,,,
"OddHour","U6229",,,,
"OddHour","U6229",,,,
"OddHour","U60",,,,
"OddHour","U60",,,,
"OddHour","U12",,,,
"OddHour","U12",,,,
"OddHour","U12",,,,
"OddHour","U184",,,,
"OddHour","U156",,,,
"OddHour","U97",,,,
"OddHour","U4148",,,,
"OddHour","U4148",,,,
"OddHour","U834",,,,
"OddHour","U4897",,,,
"OddHour","U4897",,,,
"OddHour","U6954",,,,
"OddHour","U6954",,,,
"OddHour","U2035",,,,
"OddHour","U2035",,,,
"OddHour","U1591",,,,
"OddHour","U5570",,,,
"OddHour","U3574",,,,
"OddHour","U3574",,,,
"OddHour","U3574",,,,
"OddHour","U7783",,,,
"OddHour","U7783",,,,
"OddHour","U829",,,,
"OddHour","U1402",,,,
"OddHour","U2965",,,,
"OddHour","U2965",,,,
"OddHour","U2787",,,,
"OddHour","U63",,,,
"OddHour","U63",,,,
"OddHour","U4454",,,,
