"User","TotalEvents","DistinctComputers"
"U12","246710","155"
"U13","80287","10"
"U128","71585","6"
"U60","44424","20"
"U112","44101","19"
"U4148","42553","5"
"U156","38865","13"
"U77","34683","2"
"U159","33029","3"
"U179","31537","6"
"U124","25511","17"
"U184","24369","3"
"U127","22866","1"
"U97","21370","11"
"U6","20370","9"
"U194","19786","4"
"U120","17978","7"
"U130","17829","6"
"U1407","17370","18"
"U153","16204","8"
"U5092","15982","9"
"U63","15314","9"
"U6330","14713","9"
"U29","14566","9"
"U67","14410","2"
"U16","14013","10"
"U9","13903","4"
"U202","13334","4"
"U116","13125","2"
"U231","12621","4"
"U372","12575","7"
"U6481","12184","7"
"U204","11586","9"
"U93","11524","45"
"U95","11284","8"
"U4929","10985","9"
"U188","10720","5"
"U105","10706","5"
"U66","10201","8"
"U211","10118","7"
"U182","10066","11"
"U48","10058","37"
"U113","9814","5"
"U216","9803","6"
"U39","9560","9"
"U132","9528","5"
"U186","9512","7"
"U154","9438","5"
"U167","9408","6"
"U252","9341","3"
